City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Upernavik,98,GL,1630304469,80,72.7868,-56.1549,36.39,4.32
Coahuayana Viejo,100,MX,1630304469,93,18.7333,-103.6833,75.96,3.09
Naze,19,JP,1630304469,66,28.3667,129.4833,85.12,6.53
Fortuna,90,US,1630304469,74,40.5982,-124.1573,57.42,1.01
Coxim,0,BR,1630304470,74,-18.5067,-54.76,69.89,4.88
Wahiawā,1,US,1630304470,74,21.5028,-158.0236,77.32,0.0
Bilma,80,NE,1630304470,21,18.6853,12.9164,91.62,2.93
Cabedelo,28,BR,1630304471,82,-6.9811,-34.8339,74.07,12.35
Sørland,90,NO,1630304471,76,67.667,12.6934,53.67,11.5
Dingle,78,PH,1630304471,67,10.9995,122.6711,87.46,4.54
Tonj,100,SS,1630304472,84,7.2737,28.6822,72.07,4.14
Half Moon Bay,1,US,1630304383,87,37.4636,-122.4286,73.0,0.0
Springdale,1,US,1630304421,89,36.1867,-94.1288,73.99,3.44
Dunedin,10,NZ,1630304472,66,-45.8742,170.5036,43.81,1.01
Kavieng,85,PG,1630304472,76,-2.5744,150.7967,82.89,10.78
Ilulissat,75,GL,1630304473,93,69.2167,-51.1,35.62,2.3
Kibakwe,59,TZ,1630304473,36,-6.7167,36.3667,73.04,5.08
Biasca,23,CH,1630304473,78,46.3597,8.9697,63.32,6.51
Linjiang,14,CN,1630304473,39,41.8069,126.9078,79.74,11.45
Teacapan,100,MX,1630304474,96,22.55,-105.75,75.16,7.85
Gornozavodsk,63,RU,1630304474,60,58.3758,58.3211,53.91,8.25
Foam Lake,30,CA,1630304296,64,51.65,-103.5343,57.22,4.68
Olinda,40,BR,1630304474,65,-8.0089,-34.8553,76.73,8.05
Bethel,90,US,1630304475,93,41.3712,-73.414,72.03,3.44
Cabra,24,ES,1630304475,77,37.4725,-4.4421,64.9,1.52
Sarh,20,TD,1630304475,88,9.1429,18.3923,71.51,6.91
Port Hedland,33,AU,1630304476,54,-20.3167,118.5667,82.45,13.8
Kavaratti,100,IN,1630304476,81,10.5669,72.642,79.97,17.81
Buta,98,CD,1630304476,91,2.7858,24.73,71.74,1.79
Ambilobe,14,MG,1630304477,45,-13.2,49.05,85.15,2.48
Agropoli,8,IT,1630304477,64,40.3469,14.9966,77.29,4.99
Haţeg,92,RO,1630304477,90,45.6167,22.95,56.32,2.17
Souillac,75,MU,1630304478,69,-20.5167,57.5167,75.58,14.97
Boussé,100,BF,1630304478,77,12.6606,-1.8922,74.77,6.91
Walvis Bay,0,NA,1630304478,29,-22.9575,14.5053,49.15,5.75
Karpogory,100,RU,1630304479,82,64.0019,44.4451,47.03,3.91
Lorengau,16,PG,1630304479,69,-2.0226,147.2712,85.1,7.0
Assiut,0,EG,1630304479,26,27.181,31.1837,89.8,14.2
Drumnadrochit,99,GB,1630304480,85,57.3344,-4.4799,54.57,3.36
Rock Sound,2,BS,1630304480,74,24.9,-76.2,81.73,3.4
Labuhan,100,ID,1630304480,60,-6.8844,112.2051,87.15,11.63
Airai,100,TL,1630304480,31,-8.9266,125.4092,78.22,4.92
Alofi,40,NU,1630304481,83,-19.0595,-169.9187,73.29,9.22
Sioux Lookout,75,CA,1630304481,94,50.1001,-91.917,60.87,5.75
Angoche,40,MZ,1630304481,62,-16.2325,39.9086,76.98,13.24
Bathsheba,20,BB,1630304482,83,13.2167,-59.5167,77.61,3.44
Fort Frances,1,CA,1630304296,74,48.5999,-93.4003,57.42,5.75
Tapiramutá,59,BR,1630304482,99,-11.8472,-40.7914,58.51,3.58
Nelidovo,100,RU,1630304482,98,56.2211,32.7774,54.07,4.74
Hualmay,82,PE,1630304483,84,-11.0964,-77.6139,61.74,6.22
Namwala,3,ZM,1630304483,54,-15.7504,26.4384,69.35,11.56
Stykkisholmur,100,IS,1630304483,96,65.0757,-22.7297,53.02,7.78
Zhangaözen,0,KZ,1630304484,27,43.3,52.8,82.6,9.66
Sobolevo,100,RU,1630304484,95,54.4299,31.8996,59.88,8.46
Esperance,86,AU,1630304484,69,-33.8667,121.9,62.78,17.69
Zyryanka,80,RU,1630304485,41,65.75,150.85,66.78,5.39
Ndélé,100,CF,1630304485,95,8.4109,20.6473,68.4,1.95
Longyearbyen,75,SJ,1630304485,81,78.2186,15.6401,44.44,5.75
Rawson,100,AR,1630304486,54,-43.3002,-65.1023,56.86,9.26
Qasigiannguit,100,GL,1630304486,91,68.8193,-51.1922,35.85,1.81
Sandwick,40,GB,1630304486,76,60.0,-1.25,53.42,4.61
Bridlington,13,GB,1630304487,95,54.0831,-0.1919,59.18,18.19
Macapá,75,BR,1630304487,94,0.0389,-51.0664,80.58,4.61
Chihuahua,88,MX,1630304487,70,28.5,-106.0,68.05,6.13
Pécsvárad,69,HU,1630304487,81,46.1603,18.4232,55.17,8.97
Kruisfontein,25,ZA,1630304488,31,-34.0033,24.7314,57.88,7.09
Conakry,75,GN,1630304203,94,9.538,-13.6773,77.07,6.91
Province of Mantua,32,IT,1630304488,80,45.1667,10.7833,67.24,1.99
Bubaque,100,GW,1630304489,83,11.2833,-15.8333,77.74,20.36
Hamilton,75,US,1630304238,86,39.1834,-84.5333,78.78,3.44
Sherlovaya Gora,1,RU,1630304489,35,50.5667,116.25,74.03,7.72
São João da Barra,7,BR,1630304489,93,-21.6403,-41.0511,66.45,9.66
Tuatapere,5,NZ,1630304490,77,-46.1333,167.6833,45.82,3.8
Quimper,0,FR,1630304490,94,48.0,-4.1,55.96,6.91
Saint-Pierre,0,RE,1630304490,71,-21.3393,55.4781,76.68,4.61
Watertown,1,US,1630304490,90,42.3709,-71.1828,71.46,1.99
Santiago,90,CL,1630304255,93,-33.4569,-70.6483,47.35,8.05
Wakkanai,75,JP,1630304491,78,45.4094,141.6739,71.58,9.22
Vitim,77,RU,1630304491,43,59.4511,112.5578,76.08,5.17
Yumen,100,CN,1630304492,27,40.2833,97.2,78.57,23.53
Bambous Virieux,75,MU,1630304492,69,-20.3428,57.7575,75.45,14.97
Treinta y Tres,24,UY,1630304492,97,-33.2333,-54.3833,52.29,6.49
Seminole,1,US,1630304013,94,28.7086,-81.2081,81.21,4.61
Glens Falls,99,US,1630304410,90,43.3095,-73.644,71.92,1.01
Cañete,100,CL,1630304493,94,-37.8,-73.4,49.87,3.76
Omboué,87,GA,1630304493,89,-1.5746,9.2618,73.4,4.59
Catuday,79,PH,1630304493,72,16.2923,119.8062,82.24,5.21
Dikson,100,RU,1630304493,95,73.5069,80.5464,41.13,9.08
Usta Muhammad,2,PK,1630304494,26,28.1794,68.0445,103.33,4.34
Mossamedes,55,AO,1630304494,85,-15.1961,12.1522,62.49,0.4
Zhoucheng,100,CN,1630304494,95,35.9122,116.3117,73.24,1.43
Bilibino,96,RU,1630304495,61,68.0546,166.4372,51.31,8.46
Batagay,96,RU,1630304495,66,67.6333,134.6333,54.64,6.96
Anchorage,1,US,1630304247,82,61.2181,-149.9003,55.35,3.0
Rock Springs,1,US,1630304495,25,41.5875,-109.2029,63.84,8.05
Zhuhai,20,CN,1630304496,83,22.2769,113.5678,92.79,17.27
Prince Rupert,90,CA,1630304496,93,54.3161,-130.3201,53.29,2.3
Beloha,52,MG,1630304496,77,-25.1667,45.05,67.87,9.78
Haicheng,23,CN,1630304497,45,40.8516,122.7475,83.26,10.16
Linfen,100,CN,1630304497,91,36.0889,111.5189,67.21,4.94
Qaqortoq,51,GL,1630304497,63,60.7167,-46.0333,43.3,4.52
De Aar,1,ZA,1630304498,18,-30.6497,24.0123,45.32,5.08
San Vicente de Cañete,55,PE,1630304498,81,-13.0751,-76.3835,62.01,4.05
Belaya Gora,97,RU,1630304498,74,68.5333,146.4167,50.11,6.55
Samarai,82,PG,1630304498,83,-10.6167,150.6667,81.43,15.57
Ballinasloe,37,IE,1630304499,95,53.3275,-8.2194,50.74,5.79
Neiafu,20,TO,1630304499,78,-18.65,-173.9833,75.88,8.05
El Alto,100,PE,1630304499,83,-4.2714,-81.2147,63.46,13.22
Belyy Yar,0,RU,1630304500,44,53.6039,91.3903,76.89,4.47
Homer,1,US,1630304500,83,59.6425,-151.5483,52.81,3.44
Baní,50,DO,1630304500,86,18.2833,-70.3333,76.19,6.64
Kulhudhuffushi,100,MV,1630304501,75,6.6221,73.07,82.54,16.53
Wukari,99,NG,1630304501,96,7.85,9.7833,73.18,4.36
Pokhara,98,NP,1630304501,81,28.2333,83.9833,75.81,3.15
La Rioja,94,ES,1630304464,55,42.25,-2.5,49.78,0.76
Flinders,98,AU,1630304502,54,-34.5833,150.8552,65.21,3.0
Vertientes,5,CU,1630304502,98,21.2594,-78.1464,77.61,6.93
Kargasok,100,RU,1630304502,90,59.0556,80.8572,46.63,5.1
Estrela,14,BR,1630304503,98,-28.0611,-50.9383,47.62,4.45
Westport,90,US,1630304503,93,41.1415,-73.3579,73.58,3.0
Solnechnyy,100,RU,1630304503,81,50.7214,136.6319,55.42,4.79
Amos,55,CA,1630304504,89,48.5669,-78.1162,66.47,13.8
Kuminskiy,82,RU,1630304504,50,58.6667,66.5667,58.82,7.18
Inta,100,RU,1630304504,92,66.0317,60.1659,43.92,15.46
Ust-Kuyga,99,RU,1630304505,87,70.0167,135.6,43.72,8.16
Halkirk,11,CA,1630304505,53,52.2834,-112.1518,53.17,8.52
Golden,1,US,1630304505,67,39.7555,-105.2211,68.36,1.99
Novoil'insk,82,RU,1630304506,40,51.6829,108.7143,73.98,3.44
Orlik,58,RU,1630304506,42,52.5178,99.825,65.12,2.84
Kot Addu,19,PK,1630304506,22,30.4692,70.9671,100.26,2.35
Bambanglipuro,100,ID,1630304507,69,-7.95,110.2833,81.91,15.41
Guerrero Negro,2,MX,1630304507,82,27.9769,-114.0611,71.91,12.93
Gmina Końskie,100,PL,1630304507,96,51.1917,20.4061,55.02,5.97
Bani Walid,1,LY,1630304508,68,31.7566,13.9942,78.51,9.78
Toucheng,85,TW,1630304508,72,24.8592,121.8233,93.15,10.09
Arrecife,20,ES,1630304508,88,28.963,-13.5477,71.67,14.97
Faya,39,SA,1630304509,13,18.3851,42.4509,81.12,7.78
Dzhebariki-Khaya,42,RU,1630304509,46,62.2167,135.8,62.02,3.4
Shiringushi,73,RU,1630304509,35,53.8485,42.7676,70.99,6.06
Flin Flon,84,CA,1630304400,62,54.7682,-101.865,59.92,2.86
Sunbury,20,AU,1630304510,52,-37.5833,144.7333,62.78,5.01
Kiruna,90,SE,1630304510,87,67.8557,20.2251,49.12,3.44
Adrar,45,MR,1630304510,15,20.5022,-10.0711,90.88,10.45
Sydney,0,AU,1630304504,56,-33.8679,151.2073,68.49,1.01
Arlit,22,NE,1630304511,29,18.7369,7.3853,90.91,6.58
Jumla,100,NP,1630304511,87,29.2747,82.1838,63.64,2.98
Godda,83,IN,1630304511,62,24.8333,87.2167,89.83,9.66
Ulladulla,100,AU,1630304512,56,-35.35,150.4667,62.76,5.73
Yuza,97,JP,1630304512,71,39.0,139.9167,78.85,9.22
Kem',47,RU,1630304512,68,64.9555,34.5793,49.75,5.26
Luba,96,GQ,1630304512,86,3.4568,8.5547,75.09,3.44
Hong Kong,19,HK,1630304296,72,22.2855,114.1577,91.96,13.76
Najrān,52,SA,1630304513,10,17.4924,44.1277,92.05,3.13
Asino,84,RU,1630304513,52,56.9979,86.1452,74.66,7.54
Hervey Bay,13,AU,1630304513,68,-25.2986,152.8535,77.04,11.61
Gunjur,75,GM,1630304514,100,13.2019,-16.7339,71.67,9.22
Port Angeles,1,US,1630304514,87,48.1181,-123.4307,60.73,19.57
Cortes,64,ES,1630304514,67,41.9395,-1.4396,65.03,7.47
Mahébourg,75,MU,1630304515,69,-20.4081,57.7,75.49,14.97
Río Gallegos,0,AR,1630304515,86,-51.6226,-69.2181,28.45,5.75
Mahon,20,ES,1630304388,73,39.8885,4.2658,72.16,2.3
Vidim,17,RU,1630304515,35,56.4088,103.1106,80.1,0.72
Rundu,0,NA,1630304516,13,-17.9333,19.7667,57.7,6.46
Defiance,20,US,1630304268,88,41.3334,-84.45,73.38,9.22
Tsumeb,0,NA,1630304516,14,-19.2333,17.7167,51.35,6.67
Makubetsu,75,JP,1630304516,78,45.3714,141.8211,71.31,9.22
Aksay,0,RU,1630304517,28,47.26,39.87,80.58,16.75
Lowestoft,91,GB,1630304517,95,52.4752,1.7516,59.95,16.06
Beira,75,MZ,1630304517,77,-19.8436,34.8389,66.29,9.22
Araouane,36,ML,1630304518,37,18.9048,-3.5265,89.47,7.05
Coyhaique,75,CL,1630304518,93,-45.5752,-72.0662,40.95,2.3
Udachny,79,RU,1630304518,52,66.4167,112.4,44.62,8.97
Ellisras,0,ZA,1630304519,60,-23.6649,27.7443,51.82,4.27
Itoman,20,JP,1630304519,64,26.1247,127.6694,89.98,9.22
Puno,51,PE,1630304519,72,-15.8333,-70.0333,41.23,4.52
Grasse,0,FR,1630304520,73,43.6667,6.9167,66.2,5.75
Borogontsy,42,RU,1630304520,45,62.6683,131.1683,67.53,7.78
Shingū,0,JP,1630304520,63,33.7333,135.9833,90.59,5.3
Merauke,87,ID,1630304521,79,-8.4667,140.3333,82.62,16.24
Belmonte,95,BR,1630304521,87,-15.8631,-38.8828,68.5,6.78
Vestmannaeyjar,97,IS,1630304521,95,63.4427,-20.2734,54.5,11.23
Xinmin,0,CN,1630304522,48,41.9908,122.8253,82.65,5.3
Mount Gambier,40,AU,1630304522,63,-37.8333,140.7667,60.71,19.57
Nainpur,100,IN,1630304522,72,22.4333,80.1167,84.07,7.14
St. George's,20,GD,1630304465,94,12.0564,-61.7485,78.48,0.0
Kyzyl-Mazhalyk,4,RU,1630304523,39,51.1333,90.6,73.22,2.95
Itupiranga,63,BR,1630304523,64,-5.1347,-49.3267,80.92,2.82
Morros,36,BR,1630304523,45,-9.4467,-46.3003,75.34,4.03
Linares,3,CL,1630304306,92,-35.85,-71.6,49.6,1.92
Adré,100,TD,1630304524,85,13.4667,22.2,72.57,5.99
Seoul,0,KR,1630304497,54,37.5683,126.9778,84.61,3.44
Navalmoral de la Mata,25,ES,1630304524,70,39.8916,-5.5406,64.96,4.63
Yabēlo,74,ET,1630304524,48,4.8833,38.0833,67.5,3.2
Neuquén,0,AR,1630304357,81,-38.9516,-68.0591,44.49,0.0
Shaunavon,22,CA,1630304525,43,49.6501,-108.4181,60.58,7.74
Tambopata,0,PE,1630304525,67,-12.7333,-69.1833,71.17,2.82
Dodge City,1,US,1630304525,95,37.7528,-100.0171,67.51,1.99
Aras,20,ES,1630304526,82,42.5617,-2.356,56.32,5.75
Dingli,40,MT,1630304526,73,35.8614,14.3822,77.81,6.91
Sheridan,1,US,1630304297,54,44.8333,-106.9173,66.38,4.61
Vágur,100,FO,1630304527,94,61.4732,-6.8119,53.1,13.09
Tanout,97,NE,1630304527,55,14.9709,8.8879,81.73,9.17
Bara,100,NG,1630304527,91,10.3744,10.7288,74.3,4.14
Cassilândia,12,BR,1630304528,73,-19.1133,-51.7342,65.62,4.76
Padang,44,ID,1630304528,72,-0.9492,100.3543,86.05,5.1
Laas,87,IT,1630304528,89,46.6166,10.7002,56.28,5.55
Husavik,100,IS,1630304529,80,66.0449,-17.3389,57.11,9.13
Ürümqi,0,CN,1630304529,26,43.801,87.6005,83.35,6.71
Noyabrsk,98,RU,1630304529,60,63.1994,75.4507,50.59,8.86
Shemordan,81,RU,1630304529,38,56.1856,50.3972,62.37,6.35
Raja,100,SS,1630304530,93,8.4596,25.678,68.54,0.92
Jérémie,79,HT,1630304530,89,18.65,-74.1167,79.83,5.61
Tianpeng,98,CN,1630304530,73,30.9866,103.9393,79.27,3.4
Sagua de Tánamo,69,CU,1630304531,94,20.5819,-75.2414,73.76,2.15
Bima,92,ID,1630304531,31,-8.4667,118.7167,95.47,10.74
Nome,90,US,1630304531,93,64.5011,-165.4064,49.15,18.41
Kiama,99,AU,1630304532,56,-34.6833,150.8667,65.37,6.71
Glazunovka,11,RU,1630304532,36,52.4986,36.3275,73.92,13.91
Deputatsky,92,RU,1630304532,71,69.3,139.9,45.82,7.47
Irecê,86,BR,1630304533,74,-11.3042,-41.8558,65.77,13.11
Sapa,68,PH,1630304533,73,5.1544,120.3241,83.82,6.58
Ola,35,RU,1630304533,74,59.5833,151.2833,59.04,8.88
Semey,20,KZ,1630304421,53,50.4111,80.2275,73.62,11.18
Waitati,21,NZ,1630304534,66,-45.75,170.5667,43.81,8.86
Mount Isa,1,AU,1630304534,8,-20.7333,139.5,92.97,8.05
Palu,74,ID,1630304530,79,-0.8917,119.8707,85.89,3.04
General Pico,0,AR,1630304534,47,-35.6566,-63.7568,57.85,11.25
Nouadhibou,0,MR,1630304535,61,20.931,-17.0347,76.98,19.57
Tshikapa,46,CD,1630304535,65,-6.4167,20.8,78.21,2.06
Agadez,4,NE,1630304535,11,19.75,10.25,85.51,8.46
Stornoway,75,GB,1630304536,82,58.2093,-6.3865,55.36,5.75
Bosobolo,92,CD,1630304536,95,4.1833,19.9,72.18,0.81
Ligayan,75,PH,1630304536,71,4.6533,119.4706,83.1,2.57
Mandapam,100,IN,1630304537,73,9.2833,79.1167,82.26,15.73
Acarí,41,PE,1630304537,65,-15.4311,-74.6158,65.7,2.1
Russell,1,US,1630304537,90,32.3502,-85.1999,75.96,0.0
Ullapool,67,GB,1630304538,87,57.8987,-5.1604,54.75,3.27
Gallatin,1,US,1630304538,55,45.6666,-111.2008,60.3,3.0
Santa Helena,65,BR,1630304538,96,-2.2311,-45.3,73.11,2.95
Soledade,0,BR,1630304539,89,-28.8183,-52.5103,52.32,6.53
Boguchany,56,RU,1630304539,51,58.3814,97.4531,74.25,3.18
Torrington,76,US,1630304539,97,41.8007,-73.1212,71.28,1.01
Gimbi,100,ET,1630304539,93,9.1667,35.8333,58.87,3.96
Pacific Grove,90,US,1630304540,91,36.6177,-121.9166,67.44,1.99
Krasnosel'kup,100,RU,1630304540,83,65.7,82.4667,49.3,12.3
Stoughton,90,US,1630304540,95,42.1251,-71.1023,70.75,1.01
Rawlins,1,US,1630304256,32,41.7911,-107.2387,55.62,3.44
Kushmurun,2,KZ,1630304541,34,52.4503,64.6311,61.09,5.1
Umm Kaddadah,100,SD,1630304541,59,13.6017,26.6876,80.29,6.89
Yokadouma,87,CM,1630304541,87,3.5167,15.05,71.62,2.66
Norden,97,DE,1630304542,91,53.6,7.2,62.94,12.3
Dayong,44,CN,1630304542,62,25.0209,118.2898,89.28,5.66
Alice Springs,32,AU,1630304542,9,-23.7,133.8833,81.95,8.05
Lata,53,PT,1630304543,96,40.1629,-8.3327,59.04,1.72
Newport,3,GB,1630304543,82,51.5877,-2.9984,59.86,13.33
Terme,50,TR,1630304543,70,41.2092,36.9739,78.73,7.11
Nishihara,20,JP,1630304544,66,26.1842,127.7558,89.26,12.66
Scottsbluff,1,US,1630304544,83,41.8666,-103.6672,66.78,1.99
Riyadh,0,SA,1630304468,10,24.6877,46.7219,100.45,8.05
Surab,37,PK,1630304544,31,28.4914,66.2585,81.46,7.2
Daman,100,IN,1630304545,77,20.4167,72.85,81.93,5.41
Yulara,0,AU,1630304545,7,-25.2406,130.9889,82.24,9.22
Nakatunguru,51,TZ,1630304545,66,-2.1167,33.0667,75.18,5.84
Taganak,100,PH,1630304546,72,6.0833,118.3,86.14,6.62
Tarko-Sale,63,RU,1630304546,57,64.9225,77.785,52.39,12.8
Leh,51,IN,1630304546,36,34.1667,77.5833,59.41,6.02
Ubari,6,LY,1630304546,14,26.5921,12.7805,88.36,3.74
Vostok,51,RU,1630304547,94,46.4856,135.8833,55.6,3.85
Alim,96,PH,1630304547,71,9.5649,122.4876,83.79,3.6
Manacor,70,ES,1630304547,67,39.5696,3.2096,74.34,2.59
Gubkinskiy,66,RU,1630304548,63,64.434,76.5026,50.47,13.38
Kupang,20,ID,1630304548,38,-10.1667,123.5833,91.98,17.27
Prudentópolis,86,BR,1630304548,87,-25.2131,-50.9778,55.42,4.05
Garoowe,92,SO,1630304549,41,8.4054,48.4845,82.78,23.58
Otjimbingwe,0,NA,1630304549,11,-22.35,16.1333,59.52,7.07
San Jose,20,US,1630304438,73,37.3394,-121.895,74.88,6.91
Vila Velha,40,BR,1630304549,78,-20.3297,-40.2925,69.75,8.05
San Juan,0,AR,1630304550,40,-31.5375,-68.5364,62.8,7.25
Bundaberg,40,AU,1630304550,72,-24.85,152.35,77.22,8.99
